"District_Type";"Municipality_Name";"Area_Code";"Population_Total";"Pop_Age_0_15";"Pop_Age_15_25";"Pop_Age_25_45";"Pop_Age_45_65";"Pop_Age_65_Plus";"Avg_Household_Size";"Avg_Property_Value_1000EUR";"Pct_Unoccupied_Homes";"Pct_Owner_Occupied";"Pct_Rental";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min";"Urbanization_Level"
"Frankendael";"Amsterdam                               ";"WK0363MM  ";13350;1670;1805;5230;2885;1765;1,6;476;4;17;83;;;;;;;;;1
"Van der Kunbuurt";"Amsterdam                               ";"BU0363MM01";515;80;75;185;110;65;1,9;380;10;0;100;;;;;;;;;1
"De Eenhoorn";"Amsterdam                               ";"BU0363MM02";3865;305;855;2015;560;130;1,3;354;4;1;99;;;;;;;;;1
"Don Bosco";"Amsterdam                               ";"BU0363MM03";2160;330;275;730;510;315;2;628;7;44;56;;;;;;;;;1
"Julianapark";"Amsterdam                               ";"BU0363MM04";1385;140;80;840;185;135;1,6;538;2;9;91;;;;;;;;;1
"Frankendael";"Amsterdam                               ";"BU0363MM05";10;5;0;5;5;0;3,3;;;;;;;;;;;;;1
"Tuindorp Amstelstation";"Amsterdam                               ";"BU0363MM06";835;135;85;165;250;200;1,7;351;4;0;100;;;;;;;;;1
"De Wetbuurt";"Amsterdam                               ";"BU0363MM07";1815;285;240;415;545;330;2;553;4;39;61;;;;;;;;;1
"Tuindorp Frankendael";"Amsterdam                               ";"BU0363MM08";2765;395;190;880;720;580;1,7;485;4;15;85;;;;;;;;;1
"Middenmeer";"Amsterdam                               ";"WK0363MN  ";15515;2205;2995;4845;3480;1995;1,8;569;6;38;62;;;;;;;;;1
"Linnaeusparkbuurt";"Amsterdam                               ";"BU0363MN01";2645;445;300;855;665;385;2;772;7;44;56;;;;;;;;;1
"Middenmeer-Noord";"Amsterdam                               ";"BU0363MN02";2830;480;360;810;760;420;2,2;774;4;46;54;;;;;;;;;1
"Middenmeer-Zuid";"Amsterdam                               ";"BU0363MN03";5100;915;685;1675;1200;620;2;615;4;48;52;;;;;;;;;1
"Science Park-Noord";"Amsterdam                               ";"BU0363MN04";2680;130;1295;915;270;70;1,3;330;3;14;86;;;;;;;;;1
"Science Park-Zuid";"Amsterdam                               ";"BU0363MN05";265;10;115;120;10;10;1,1;40;14;0;100;;;;;;;;;3
"Sportpark Middenmeer-Zuid";"Amsterdam                               ";"BU0363MN06";310;35;10;55;60;145;1,7;615;4;57;43;;;;;;;;;1
"Sportpark Middenmeer-Noord";"Amsterdam                               ";"BU0363MN07";135;0;60;70;0;5;1;31;49;0;100;;;;;;;;;2
"Park de Meer";"Amsterdam                               ";"BU0363MN08";1550;195;170;330;520;340;2,1;694;2;64;36;;;;;;;;;1
"Sportpark Voorland";"Amsterdam                               ";"BU0363MN09";0;0;0;0;0;0;;;;;;;;;;;;;;2
"Betondorp";"Amsterdam                               ";"WK0363MP  ";3010;385;265;825;845;685;1,7;438;11;19;81;;;;;;;;;1
"Drieburg";"Amsterdam                               ";"BU0363MP01";0;0;0;0;0;0;;;;;;;;;;;;;;1
"Nieuwe Oosterbegraafplaats";"Amsterdam                               ";"BU0363MP02";5;0;0;5;0;0;2,5;;;;;;;;;;;;;1
"Betondorp";"Amsterdam                               ";"BU0363MP03";3005;390;260;825;850;680;1,7;437;11;19;81;;;;;;;;;1
"Omval/Overamstel";"Amsterdam                               ";"WK0363MQ  ";5935;495;1065;3260;795;310;1,5;514;8;24;76;;;;;;;;;1
"De Omval";"Amsterdam                               ";"BU0363MQ01";730;50;40;350;160;135;1,7;707;8;45;55;;;;;;;;;1
"Overamstel";"Amsterdam                               ";"BU0363MQ02";45;5;0;15;25;0;2,6;;;;;;;;;;;;;5
"Amstelglorie";"Amsterdam                               ";"BU0363MQ03";80;10;10;15;30;10;2;;;;;;;;;;;;;2
"Amstelkwartier-West";"Amsterdam                               ";"BU0363MQ04";750;15;215;485;20;15;1,1;261;14;0;100;;;;;;;;;3
"Amstelkwartier-Noord";"Amsterdam                               ";"BU0363MQ05";2865;315;335;1680;430;110;1,6;529;7;28;72;;;;;;;;;1
"Amstelkwartier-Zuid";"Amsterdam                               ";"BU0363MQ06";60;5;5;30;5;10;1,3;;;;;;;;;;;;;2
"Weespertrekvaart";"Amsterdam                               ";"BU0363MQ07";1405;100;455;685;130;30;1,4;656;5;23;77;;;;;;;;;1
"Oostzanerwerf";"Amsterdam                               ";"WK0363NA  ";9075;1535;1150;2415;2525;1445;2,2;424;3;46;54;;;;;;;;;2
"Noorder IJplas";"Amsterdam                               ";"BU0363NA01";145;10;20;15;55;50;2,1;;;;;;;;;;;;;5
"Melkweg/Oostzanerwerf";"Amsterdam                               ";"BU0363NA02";325;30;60;125;95;15;1,5;;;;;;;;;;;;;4
