"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Da Costabuurt";"Amsterdam                               ";"WK0363EQ  ";2740;54,7;48,5;42,6;45,9;21,1;7,9;14,2
"Da Costabuurt-Noord";"Amsterdam                               ";"BU0363EQ01";2740;54,7;48,5;42,6;45,9;21,1;7,9;14,2
"Westindische Buurt";"Amsterdam                               ";"WK0363ER  ";3800;53;45,4;42;42,5;22,1;6,9;13,5
"Postjeskade e.o.";"Amsterdam                               ";"BU0363ER01";1580;50,5;43,6;;43,4;20,7;7;14,1
"Paramariboplein e.o.";"Amsterdam                               ";"BU0363ER02";2190;55,1;46,9;;41,7;23,2;6,8;12,9
"Van Lennepbuurt";"Amsterdam                               ";"WK0363ES  ";3130;43,7;38,5;35,7;57,8;12,3;12,2;25,2
"Lootsbuurt";"Amsterdam                               ";"BU0363ES01";940;;;;59,1;12,8;13,8;25,4
"Borgerbuurt";"Amsterdam                               ";"BU0363ES02";910;;31,3;;63,6;9,4;13,1;32,6
"Da Costabuurt-Zuid";"Amsterdam                               ";"BU0363ES03";1270;;;;50;15,3;9,8;16
"Overtoomse Sluis";"Amsterdam                               ";"WK0363ET  ";4760;60,4;52,6;45,9;42,9;23,6;8,1;13,6
"Cremerbuurt-West";"Amsterdam                               ";"BU0363ET01";3420;58;50,7;43,7;42,9;22,5;8,6;14,1
"Vondelparkbuurt-West";"Amsterdam                               ";"BU0363ET02";1330;;;;43;26,5;6,8;12,5
"Helmersbuurt";"Amsterdam                               ";"WK0363EU  ";4490;60,6;52,6;47,1;44,6;23,4;8,7;15,1
"Cremerbuurt-Oost";"Amsterdam                               ";"BU0363EU01";1450;;;;41,8;24,3;8,5;12,8
"WG-terrein";"Amsterdam                               ";"BU0363EU02";1400;;46,5;;53,5;19;11,8;22,3
"Helmersbuurt-Oost";"Amsterdam                               ";"BU0363EU03";1670;;;;37,4;27,5;5,1;8,7
"Vondelparkbuurt";"Amsterdam                               ";"WK0363EV  ";1070;;;;43,7;27,1;11,2;15,6
"Vondelparkbuurt-Midden";"Amsterdam                               ";"BU0363EV01";;;;;46,2;25,7;8,3;16
"Vondelparkbuurt-Oost";"Amsterdam                               ";"BU0363EV02";560;;;;41,6;28,3;13,7;15,3
"Sloterdijk Nieuw-West";"Amsterdam                               ";"WK0363FA  ";;;;;80,2;3,2;18;22
"Sloterdijk De Heining";"Amsterdam                               ";"BU0363FA01";;;;;;;;
"Sloterdijk Poort-Noord";"Amsterdam                               ";"BU0363FA02";;;;;;;;
"Sloterdijk Poort-Zuid";"Amsterdam                               ";"BU0363FA03";;;;;;;;
"Sloterdijk Rhônepark";"Amsterdam                               ";"BU0363FA04";;;;;;;;
"Sloterdijk Donauhoek";"Amsterdam                               ";"BU0363FA05";;;;;;;;
